Metrics,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Unique Visitors,6452033,6604315,8841140,6753155,6737907,7212682,9164769,10306239,10048085,10920676,11738832,14735185,19070453,18749802,22876555,22741016,19332641,18191043,19497597,18052780,17476552,19349488,19661783,18523137
Visits,11566247,11120144,13603662,11188209,11522831,12098624,16490226,19640112,18778158,20810604,22280721,29122946,39518795,38820458,50172107,51299026,40341955,37251573,40547836,36999179,34565602,38696373,38786561,36675788
Page Views,41473585,36874054,43149956,34320790,41034711,42249151,64025121,74631495,69514124,77694399,80934862,110714782,158924565,149940890,190868422,198948112,148930319,138101661,153370249,136091076,125971497,141262575,139420230,138804835
File Download (e25),94319,82098,98902,85177,101744,144719,634828,1184122,1180562,1292484,1291744,2361200,4365267,4423455,5197078,5222769,3349190,3318444,4214017,3183388,3088679,3409383,3312915,3515874
Video/Audio Play (e61),7730,18815,26485,17012,49982,52994,71080,96869,99732,115369,115466,168669,231489,218993,238314,221170,186859,209667,234684,215422,221479,261770,228047,210394
Site Search (e50),863530,818930,962916,770532,800081,820163,1243165,1662609,1650756,1888075,1980982,2362568,2311317,1755959,2467281,6133675,4998415,4572134,4484499,4242885,3922943,4399261,4377223,3644873
Metrics,,,,,,,,,,,,,,,,,,,,,,,,
Average Time Spent on Site,5.7,5.5,5.4,5.3,5.4,5.5,6,6.1,6,6.2,6.2,6.8,7.2,7.4,7.5,7.5,6.8,6.8,6.7,6.7,6.8,6.9,6.8,6.9
,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Device Type (p4),Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
desktop,7316361,7098933,8417238,7024401,7229519,7453253,10258042,12692879,12247964,13686921,14148602,17642098,24818123,24594012,32566481,35069942,25841304,23104696,24063465,21670370,20631884,23327828,22656369,20438347
mobile,4220152,3992208,5155916,4141446,4274891,4625014,6205023,6911650,6493081,7079886,8079643,11396539,14543678,13870326,17421606,16013281,14366017,14028234,16360198,15208531,13814597,15242707,16007372,16113716
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Browser Type,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Google,5001182,4771492,5882829,4895872,4871107,5093147,7075165,8610770,8392329,9492041,10485019,14367640,19533736,19324008,24822313,25428723,20739628,19235762,20814823,19049938,18131320,20270921,20209942,18912520
Apple,2789730,2649260,3395185,2734603,2916615,3153417,4346747,4801186,4530846,4896344,5319884,7339439,9621923,9116644,11651103,11164709,9357716,8868902,10311930,9407553,8552577,9575121,10071901,9896683
Microsoft,2484547,2498572,2943267,2398461,2603014,2687517,3470283,4359939,4086425,4503778,4608544,4840797,6977040,7234722,9754933,10728054,7064506,6190489,6204566,5636064,5226513,5982931,5707434,5042624
Mozilla,770162,725882,829363,688866,671096,694507,957738,1152137,1092404,1199257,1228308,1651940,2256749,2090500,2656960,2767953,2080065,1873915,1978799,1755639,1611054,1755297,1676894,1598123
Samsung,466569,415072,481744,409243,396412,401268,570975,650242,615517,656396,571355,759727,939473,872558,1060181,988154,874617,852404,1001279,907200,824545,894356,901033,984355
UC Web,6571,7554,9053,9327,9444,10297,11328,10633,9845,9633,11125,50063,55384,59752,68478,63953,68870,75443,73937,78218,67363,62193,63292,67161
Other,5664,5858,6808,5685,5671,5952,7373,8508,7945,8592,9391,24519,27762,27056,38978,40063,42419,45768,49906,52897,46443,47555,49182,54843
BlackBerry,22314,22978,27871,22369,25356,27135,26057,26251,24167,24533,25361,28167,31310,28470,31321,30188,25401,23731,22613,20025,17487,17946,16552,14783
Opera,11631,14345,16446,13839,13857,14734,12561,7354,7206,7683,7942,23109,31156,29196,32731,30560,32054,31938,34516,37686,35308,34478,36920,48446
SouGou,1458,1702,2135,2225,2250,2382,2920,3635,3211,3498,3860,13728,15285,11113,18069,19049,19560,17501,19172,17161,16657,17214,17837,18348
QQ Browser,1112,1430,1783,1761,2064,1885,2276,2503,2484,2734,2867,9619,10640,8330,14772,16176,16442,14025,14136,12466,11681,12870,14271,13687
Amazon,2521,2573,2861,2257,2368,2562,3170,3739,3185,3413,3459,6392,8821,8262,9650,9358,8964,9200,9865,9383,8423,8592,8022,9846
Yandex,1372,1502,1873,1582,1704,1682,1601,1888,1796,1887,2638,6525,8017,7477,9834,9629,9537,9227,9625,9159,8582,9316,10761,9979
Netscape,104,339,458,633,693,809,840,734,273,81,148,127,172,280,292,326,244,184,218,99,67,112,115,187
Nokia,71,101,156,80,92,95,89,104,94,85,100,325,303,282,270,264,240,286,280,249,211,146,165,176
NetFront,19,18,34,23,12,11,56,87,75,153,48,43,41,46,22,34,8,4,20,0,0,0,1,1
Hewlett-Packard,38,42,38,26,30,25,27,27,21,33,25,36,35,29,32,38,41,18,36,17,26,20,28,32
Dolphin,10,10,10,14,8,6,10,1,3,17,8,31,23,20,22,17,15,14,26,23,19,26,18,19
Openwave,1,0,1,3,1,0,4,1,1,4,0,7,6,3,21,2,2,8,66,3,1,7,3,1
Teleca,1,3,3,2,1,7,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,2,0,0
Tencent Mobile,1,2,1,0,6,1,0,0,0,0,0,3,3,2,3,2,1,3,3,0,2,0,0,0
Motorola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
SonyEricsson,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
AOL,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Operating System Type,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Microsoft Windows,6232764,6051007,7157672,5949809,6156835,6334978,8673183,10860260,10376478,11625112,12032183,14850963,20944220,21008129,27519935,29734130,21745122,19485668,20170282,18254056,17148737,19345116,18729304,16970255
Apple iOS,2332632,2219184,2884806,2312629,2493267,2697492,3681314,4049597,3780227,4094541,4524478,6455842,8342245,7863009,9956311,9317249,8143919,7863377,9240028,8518735,7605411,8502958,9013073,9048337
Google Android,1853311,1742412,2236071,1797657,1747629,1893557,2487201,2816870,2667395,2938372,3521784,4899912,6157685,5990681,7435522,6673082,6181286,6139579,7105691,6663173,6191842,6634298,6487398,6876334
Apple Macintosh,1012790,972007,1172117,995222,983691,1036932,1498117,1740810,1752101,1921611,1959175,2582075,3616277,3540313,4754670,5047557,3762729,3319909,3631710,3194143,3188159,3575699,3532592,3140796
GNU/Linux,44356,38293,43860,39831,39272,39956,54542,75626,81674,85757,78065,150938,222296,182066,215702,222671,214942,217055,235747,226274,211716,333664,712041,376896
Chrome OS,39280,46667,50670,45263,53394,44569,42869,45479,73618,96578,114808,115245,158807,165822,210841,231479,233192,168453,107692,92191,172123,250673,263996,218486
Blackberry,22466,23170,28007,22495,25445,27231,26118,26255,24170,24539,25366,28178,31326,28492,31351,30212,25421,23744,22656,20038,17500,17963,16568,14809
Microsoft Windows Phone/Mobile,19874,18240,20609,16996,15145,16091,19516,20442,17885,18848,18445,30497,35065,30831,34883,31666,26645,24210,24508,21644,18422,17980,16771,15447
Other,7306,7207,7785,6608,6241,5802,5960,4578,4425,5004,5975,8586,10011,10319,12006,10181,8057,8947,8762,8231,11068,17436,14291,13774
Nokia,1147,1621,1662,1409,1593,1656,1080,41,48,46,35,135,162,151,176,213,185,191,212,238,221,188,124,241
Samsung,72,83,106,95,104,133,106,8,21,51,277,366,411,365,415,341,304,306,325,306,271,273,221,237
UNIX,37,50,56,40,36,50,81,77,71,103,86,129,230,211,234,180,91,90,96,102,77,75,99,91
Symbian,153,149,190,125,145,148,98,29,19,9,19,42,25,37,28,25,19,21,83,24,28,27,54,49
WebOS,38,42,38,26,30,25,27,27,21,33,25,36,35,29,32,38,42,19,36,17,27,23,28,32
Adobe,18,6,7,0,0,0,12,13,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Referrer Type,Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c),Visits (c)
Search Engines,4280398,4796896,5939373,5105912,4980328,4246427,6062627,7918112,7957636,8885964,9143626,11973457,16414872,16465738,21683171,22251807,17558069,16026734,17923066,16098022,14768395,16399712,16031488,16009149
Typed/Bookmarked,3661810,3605633,4130923,3428699,3572569,3658469,4993889,6227505,6142068,6950823,8508000,10290883,13551890,13122115,16453325,17253246,13330170,12223658,12975228,11964085,10812897,12379659,12143784,12107503
Other Web Sites,4959296,3407758,3793220,2985267,3588654,4543242,6576567,6687846,5836797,6291786,5910696,8569251,12111466,11854905,15865350,16911540,12866297,11878341,13026454,11469411,11012483,12210576,12128574,11604303
Social Networks,87497,191464,638516,270173,242176,439353,222176,219602,195595,341150,355856,612019,724817,846629,1255396,462537,479117,592781,586622,599106,644836,876484,1588148,757663
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Referring Domain,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Typed/Bookmarked,3661810,3605633,4130923,3428699,3572569,3658469,4993889,6227505,6142068,6950823,8508000,10290883,13551890,13122115,16453325,17253246,13330170,12223658,12975228,11964085,10812897,12379659,12143784,12107503
google.ca,3494096,3925912,4874329,4207876,4077391,4052838,5641264,7342013,7365692,8166046,8277228,9460337,13395009,13387233,17187890,16260242,10963641,9545601,10683553,9351199,9020431,10224839,9890564,6842015
cic.gc.ca,498063,464513,491513,461512,522225,541892,598107,566884,526908,552979,515520,2923604,3982105,3289927,3710111,3674355,3946665,3916280,4099211,3732808,3293359,3460575,3442803,3694462
google.com,106432,148241,184970,157038,159406,154003,215919,315931,314337,369865,384642,775734,1009420,1109340,2073345,3727451,4447851,4284697,4757057,4358153,4452868,5088094,4982490,8344178
cra-arc.gc.ca,105918,156069,278527,252737,184132,173480,1720268,1644311,1154337,1347770,1226198,1044932,1642388,2629550,5046471,6010982,2890594,2200818,2545786,1753520,1458137,1717784,1476318,1321954
bing.com,351771,375690,443572,345683,342238,333832,504405,647727,627766,685592,584675,639634,999572,1024709,1337637,1464995,1124783,1013546,1108981,994580,935544,1061772,1025120,929362
clegc-gckey.gc.ca,4654,3739,4367,3503,592035,654945,910434,790780,690560,717051,726747,716805,1069170,916173,940654,907684,704070,663523,930119,802106,659494,724872,850373,912819
facebook.com,70188,161630,540523,202303,184582,342251,152190,159504,117012,270893,258419,485395,527848,674669,1048640,334797,347165,422847,430538,435332,517553,683686,1404550,582876
securekeyconcierge.com,1492,1515,1697,1312,312558,345817,469059,456926,430762,446195,440194,403545,618556,570261,593494,572486,465000,440817,631595,570269,489762,529165,604173,633199
esdc.gc.ca,2234811,769076,704185,513527,478926,411275,408381,363636,293305,276648,254270,196938,274433,222841,231594,230561,213951,176950,191330,172915,155466,156167,152355,135501
com.google,104701,88833,123825,110500,108633,115525,159799,201491,192554,211792,231428,399353,501752,473222,578029,560688,518638,537812,638493,606137,370486,228350,227387,231059
hrdc-drhc.gc.ca,736676,523081,560260,483501,170173,103261,132465,109871,107050,117097,128211,338686,295132,219284,233551,203039,180859,187783,257748,212042,177551,187063,209652,267406
statcan.gc.ca,5976,8401,8353,6664,6523,5165,4387,5474,5596,6680,6648,6362,26790,134650,600721,579430,495067,528922,499409,425172,589767,675543,766676,549215
