Province.Territory.and.Immigration.Category,Province,Year,Number of PR Admissions
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,2015,0
Canadian Experience,Newfoundland and Labrador,2015,25
Caregiver,Newfoundland and Labrador,2015,15
Skilled Trade,Newfoundland and Labrador,2015,10
Skilled Worker,Newfoundland and Labrador,2015,95
Worker Program,Newfoundland and Labrador,2015,150
Self-Employed,Newfoundland and Labrador,2015,0
Start-up Business,Newfoundland and Labrador,2015,0
Business,Newfoundland and Labrador,2015,0
Provincial Nominee Program,Newfoundland and Labrador,2015,535
Provincial Nominee Program,Newfoundland and Labrador,2015,535
Economic - Total,Newfoundland and Labrador,2015,685
Sponsored Children,Newfoundland and Labrador,2015,10
Sponsored Extended Family Member,Newfoundland and Labrador,2015,0
Sponsored Parent or Grandparent,Newfoundland and Labrador,2015,10
Sponsored Spouse or Partner,Newfoundland and Labrador,2015,120
Sponsored Family,Newfoundland and Labrador,2015,140
Sponsored Family - Total,Newfoundland and Labrador,2015,140
Blended Sponsorship Refugee,Newfoundland and Labrador,2015,15
Government-Assisted Refugee,Newfoundland and Labrador,2015,275
Privately Sponsored Refugee,Newfoundland and Labrador,2015,0
Resettled Refugee,Newfoundland and Labrador,2015,290
Protected Person in Canada,Newfoundland and Labrador,2015,10
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,2015,300
All Other Immigration - Total,Newfoundland and Labrador,2015,--
Newfoundland and Labrador - Total,Newfoundland and Labrador,2015,"1,125"
Atlantic Immigration Pilot Programs,Prince Edward Island,2015,0
Canadian Experience,Prince Edward Island,2015,5
Caregiver,Prince Edward Island,2015,--
Skilled Trade,Prince Edward Island,2015,0
Skilled Worker,Prince Edward Island,2015,40
Worker Program,Prince Edward Island,2015,50
Self-Employed,Prince Edward Island,2015,--
Start-up Business,Prince Edward Island,2015,0
Business,Prince Edward Island,2015,--
Provincial Nominee Program,Prince Edward Island,2015,955
Provincial Nominee Program,Prince Edward Island,2015,955
Economic - Total,Prince Edward Island,2015,"1,005"
Sponsored Children,Prince Edward Island,2015,10
Sponsored Parent or Grandparent,Prince Edward Island,2015,--
Sponsored Spouse or Partner,Prince Edward Island,2015,60
Sponsored Family,Prince Edward Island,2015,75
Sponsored Family - Total,Prince Edward Island,2015,75
Blended Sponsorship Refugee,Prince Edward Island,2015,5
Government-Assisted Refugee,Prince Edward Island,2015,75
Privately Sponsored Refugee,Prince Edward Island,2015,20
Resettled Refugee,Prince Edward Island,2015,100
Protected Person in Canada,Prince Edward Island,2015,5
