PageURL,Type,variable,value
www.canada.ca/en/revenue-agency.html,Taxes,1.1.2017,38029
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/home.jspx,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals.html,Taxes,1.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account/access.html,Employment and Social Development ,1.1.2017,3935694
www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,Immigration,1.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account.html,Employment and Social Development ,1.1.2017,3290236
www.canada.ca/en/services/immigration-citizenship.html,Immigration,1.1.2017,0
www.canada.ca/en.html,Canada.Ca Home Page,1.1.2017,1552920
www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,Employment and Social Development ,1.1.2017,3173179
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/ei-correspondence.jspx,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-internet-reporting.html,Benefits,1.1.2017,1458739
www.canada.ca/en/revenue-agency/services/e-services/represent-a-client.html,Taxes,1.1.2017,0
www.canada.ca/en/services/benefits/ei.html,Benefits,1.1.2017,1961678
www.canada.ca/en/immigration-refugees-citizenship/services/application.html,Immigration,1.1.2017,0
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyPayments.aspx,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/sr.html,Canada.Ca Home Page,1.1.2017,768536
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyCurrentClaim.aspx,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services.html,Taxes,1.1.2017,0
www.canada.ca/fr/emploi-developpement-social/services/mon-dossier/acceder.html,Employment and Social Development ,1.1.2017,991651
www.canada.ca/home.html,Canada.Ca Home Page,1.1.2017,337825
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyRoeList.aspx,Employment and Social Development ,1.1.2017,0
www1.canada.ca/en/logout/msca.html,Canada.Ca Home Page,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html,Immigration,1.1.2017,0
www.canada.ca/fr/emploi-developpement-social/services/mon-dossier.html,Employment and Social Development ,1.1.2017,818584
www.canada.ca/en/sr/srb.html,Canada.Ca Search,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html,Immigration,1.1.2017,0
www.canada.ca/fr/agence-revenu/services/services-electroniques/services-electroniques-particuliers/dossier-particuliers.html,Taxes,1.1.2017,0
www.canada.ca/en/services/taxes/income-tax.html,Taxes,1.1.2017,68238
www.canada.ca/fr.html,Canada.Ca Home Page,1.1.2017,422901
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada.html,Immigration,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account.html,Revenue,1.1.2017,0
www.canada.ca/en/services/immigration-citizenship/search.html,Immigration,1.1.2017,0
www.canada.ca/fr/agence-revenu.html,Taxes,1.1.2017,4862
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/payroll-deductions-online-calculator.html,Taxes,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html,Immigration,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/gst-hst-netfile/gst-hst-netfile-ready-file-online-check-list.html,Taxes,1.1.2017,0
www.canada.ca/fr/services/prestations/ae/assurance-emploi-declaration-internet.html,Employment and Social Development ,1.1.2017,423857
www.canada.ca/en/revenue-agency/corporate/contact-information/telephone-numbers.html,Taxes,1.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/auto-fill-return-express-noa.html,Taxes,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/come-canada-tool.html,Immigration,1.1.2017,0
www.canada.ca/en/employment-social-development/programs/ei/ei-list/ei-roe/access-roe.html,Employment and Social Development ,1.1.2017,360530
www.canada.ca/fr/services/prestations/ae.html,Employment and Social Development ,1.1.2017,751509
www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,Immigration,1.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-regular-benefit.html,Employment and Social Development ,1.1.2017,568445
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html,Immigration,1.1.2017,0
www1.canada.ca/en/esdc/service-canada.html,Employment and Social Development ,1.1.2017,0
www.canada.ca/en/services/jobs/opportunities.html,Jobs,1.1.2017,324167
www.canada.ca/en/revenue-agency/search.html,Taxes,1.1.2017,0
www.canada.ca/en/public-service-commission/jobs/services/gc-jobs.html,Jobs,1.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta.html,Immigration,1.1.2017,0
www.canada.ca/en/services/benefits/calendar.html,Benefits,1.1.2017,242999
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyPaymentDetails.aspx,Employment and Social Development ,1.1.2017,0
