,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
GeoSegmentation Region,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Ontario (Canada),4148933,4069033,4919638,3894059,4197331,4433711,6187133,7553638,7433488,8111495,8704611,9459411,13210901,12834073,16767887,17662473,13254916,11938670,13262534,11561012,10927615,12723573,12542540,11286294
Quebec (Canada),2189944,2007276,2623668,2084567,2136034,2184395,2750537,3083925,2738686,3112460,3344495,3882973,5180804,5151309,6913259,6824153,5035469,4434534,5074197,4710089,4328564,4918414,5290473,4822055
British Columbia (Canada),1218493,1147554,1443868,1215204,1170157,1224876,1877474,2312399,2170552,2407793,2596837,2876759,4102474,4177808,5637417,6158832,4267286,3796737,4051040,3742751,3481123,4004734,4000960,3688222
Alberta (Canada),1281457,1200707,1474938,1239530,1178296,1182790,1797043,2241498,2117852,2386323,2548333,2733999,3887125,3950165,5450478,5579633,3820828,3440735,3742917,3342282,3088087,3462891,3429572,3059469
Manitoba (Canada),314555,298402,365223,302874,285979,293439,447771,532919,519484,580932,646458,711717,992357,1007661,1363088,1324995,936424,831800,944104,827238,784853,902681,924406,897894
Nova Scotia (Canada),406910,358528,443750,352709,360642,379298,504921,567277,565057,619986,649109,669163,916261,929916,1224897,1152805,853648,772114,867173,736255,741757,853956,855692,782435
Saskatchewan (Canada),285099,277693,339364,279592,276694,292693,406832,466552,452913,510423,554255,605427,828625,841421,1196577,1160238,802814,717026,786346,697055,709311,789189,806460,741589
New Brunswick (Canada),357798,356983,416826,331601,364220,364086,434715,478331,487871,551117,550146,560020,753480,749359,939159,886753,687459,626348,676781,605547,581849,638724,609682,581136
Newfoundland and Labrador (Canada),265708,241089,263053,230937,239039,231423,280435,307555,312474,352073,351414,380763,502308,522485,673501,642581,487564,436425,450535,396218,387988,450296,441008,420603
California (United States),41569,51769,61710,51959,51338,62150,82708,109828,100279,117620,136813,235372,308738,286301,360136,380050,340043,355605,355179,324315,300024,365535,348069,391989
New York (United States),24721,25542,29610,28419,31076,41149,51145,64286,58389,70582,71057,145583,195993,174149,210179,248792,219555,237087,221806,229236,198603,222747,211157,209857
Lagos (Nigeria),14920,18567,20169,17075,18108,22242,19342,19144,18770,21545,20811,155398,217986,193485,208796,211994,218271,216809,220086,230941,278740,289007,259458,279835
Ile-De-France (France),20029,20191,22153,23890,23623,29145,32939,46607,47113,55302,66896,169306,200347,172443,214590,191742,208019,215534,228725,226764,208172,207995,211165,258718
Prince Edward Island (Canada),78170,70042,78023,66224,67046,61475,84352,96363,100750,117449,120973,124244,163879,165282,206338,201238,148075,135467,147636,132767,136999,164861,154350,143575
Punjab (India),5714,5506,7559,11495,11165,14157,12885,11502,10432,11003,10693,120147,124691,140078,166674,164115,189367,219520,226667,285073,225299,236685,252279,283786
Maharashtra (India),12591,13797,16450,16673,17325,21357,24639,27151,23740,24027,31556,156446,172727,163927,178128,183670,198005,209174,212241,225713,197922,191387,196336,228947
Delhi (India),8315,8364,10018,12526,12970,15572,16485,17902,16770,16722,18134,115701,132563,129255,143067,151285,167639,181988,199010,215689,174778,168589,177734,205886
Texas (United States),21469,24886,26727,24894,24934,26926,34535,44510,42325,51049,53893,104441,144656,135269,155694,160980,154742,155136,158501,151586,143837,162360,156303,145422
Gujarat (India),6015,6323,7706,7918,7965,11095,12517,13118,11383,10768,12878,86295,91484,96672,121767,121733,135612,156518,172894,181637,129325,140330,156306,196474
Dubai (United Arab Emirates),8518,8793,10221,11644,12138,14656,15681,15491,15080,17300,15409,96131,117340,111199,123011,123542,133400,130465,139718,126579,130711,131469,117752,131471
Tehran (Iran (Islamic Republic of)),4457,4458,4153,6850,6466,8114,9171,9804,8344,9627,10109,100203,101405,96951,95263,128117,113982,121490,154377,165572,154569,140746,132036,161407
Florida (United States),29581,33728,41202,26076,18948,19688,25495,32704,24718,32407,44183,84933,123543,124367,150076,129879,96406,90333,93839,88294,76858,89197,105675,110150
New Jersey (United States),11943,14312,17012,14943,16304,20705,30008,33053,31148,34867,40216,68048,96188,97149,115206,116751,114011,119720,130698,110675,99582,113360,105956,107493
Washington (United States),13325,13812,16507,14533,15811,22604,27301,33971,26978,31506,34651,74197,92277,87136,106719,110183,108907,119137,111198,120815,112005,108921,104727,107148
Karnataka (India),4086,4791,5477,5715,5472,7488,9070,14806,13729,13532,15537,77561,92024,93910,113859,109162,117522,128452,131611,121331,107300,105132,107742,124662
