,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
GeoSegmentation City,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
"Toronto (Ontario, Canada)",590395,579550,768951,628517,691029,742162,1054319,1386896,1372310,1511121,1582833,1831822,2679047,2599069,3501822,3698381,2852962,2680617,3277793,2757665,2537282,2816152,2761422,2451817
"Ottawa (Ontario, Canada)",828131,984089,1048640,773289,1031718,1112677,1087937,1388804,1427561,1519002,1607062,1488347,2000950,1921175,2173690,2213766,1987921,1763149,1809255,1682948,1587301,2054385,1646641,1435152
"Montreal (Quebec, Canada)",611950,583149,658737,508225,546455,631001,706428,956392,914897,1038146,994555,1248557,1695944,1730389,2327978,2407313,1854653,1687850,1951773,1858426,1723007,2006381,2024353,1715011
"Calgary (Alberta, Canada)",435819,386008,477640,430484,402500,385841,614705,818616,779136,895681,917791,1025568,1478863,1512876,1993722,2226010,1434032,1325441,1361395,1285096,1139153,1263697,1271394,1099465
"Edmonton (Alberta, Canada)",400958,409173,485069,388364,388744,418675,607645,639732,633175,670039,808246,907285,1274016,1206908,1777013,1666039,1274876,1131802,1222668,1076331,1014015,1150850,984796,1004735
"Vancouver (British Columbia, Canada)",223546,212684,257696,236069,238503,274714,436605,529093,501474,544218,628309,721990,1015996,1040313,1488200,1690673,1133427,1013682,1078136,957493,880103,965697,955993,1006220
"Winnipeg (Manitoba, Canada)",230543,221660,273888,226583,215657,221509,335883,405932,393056,433570,484139,543528,757109,765827,1057486,1026035,732813,650669,717544,630072,593232,676928,689296,675613
"Mississauga (Ontario, Canada)",164028,152057,192886,162709,163736,188938,276741,347719,323541,361640,381611,472269,644029,614104,849260,900520,667538,614473,650394,591816,523253,599994,615626,580218
"North York (Ontario, Canada)",136774,146248,187832,162723,151151,165737,253369,348910,327150,351068,391045,499588,634002,643830,815881,946667,712765,547131,408811,462050,533234,610906,577205,471960
"Brampton (Ontario, Canada)",140064,114429,152020,123993,125527,126336,211503,275923,230243,257839,273252,375394,545812,494225,622154,648307,515869,468480,541699,511884,466100,533512,559217,510844
"Surrey (British Columbia, Canada)",130398,110395,158202,117731,124721,138038,193917,236792,215721,225500,261771,328301,445632,502091,626392,610162,480934,446415,418089,413543,405280,537745,436796,397710
"Quebec (Quebec, Canada)",151311,148613,183693,151479,138681,143686,192840,239304,237010,251437,273529,286434,402374,419290,568893,584276,405740,344034,369132,341609,333890,385795,402336,350579
"Scarborough (Ontario, Canada)",139633,114165,157884,117726,117131,124682,157741,229223,220499,237157,238395,321747,412734,413672,544063,564323,436186,385692,411873,365863,349283,370930,366166,379133
"Gatineau (Quebec, Canada)",97756,91194,304733,294581,344770,308262,322148,228819,139416,173116,180100,170971,240904,268019,370283,357958,316511,278239,323318,245032,217090,247646,386733,246237
"Etobicoke (Ontario, Canada)",90753,102284,107272,101994,83692,109905,187654,167709,201770,194353,243603,259004,411388,352739,413055,429232,342824,251267,215517,292566,257184,336408,326847,352949
"London (Ontario, Canada)",112986,100101,125247,98846,95389,101174,164366,185382,202049,206141,220205,227196,331213,327715,455324,467512,316776,286642,322427,262268,266872,309939,327101,233096
"Halifax (Nova Scotia, Canada)",110268,108985,144233,122745,105944,123857,166539,188413,166840,221430,186928,191381,273768,280877,435300,441642,339181,250909,294231,268251,275161,342419,342044,302529
"Burnaby (British Columbia, Canada)",74925,65047,87563,82166,68916,66792,118616,156478,167943,170414,145323,208239,336233,293421,368923,425005,368984,315100,367369,321695,298161,330517,321221,283201
"Victoria (British Columbia, Canada)",83835,79952,103812,84319,82507,88082,130037,164335,158111,179531,192921,185793,279691,295318,396229,457504,295210,251595,264000,242990,228348,260936,253977,227306
"Saskatoon (Saskatchewan, Canada)",99111,94498,117672,96523,102666,115728,141414,160617,157135,173562,177942,199426,279828,284956,408381,406362,273078,241274,262502,215163,205900,243891,256783,213889
"Kitchener (Ontario, Canada)",87289,71117,101765,75328,70776,71057,103932,161411,172045,161084,156982,160535,221081,221407,357524,404191,285158,272470,372644,226105,203974,223960,231388,193313
"Regina (Saskatchewan, Canada)",82303,82496,98262,81637,75135,80374,114179,129963,134624,142508,177881,189731,253573,261958,356582,361832,253984,228060,244393,217239,206917,237338,241883,218426
"Laval (Quebec, Canada)",90033,106945,135047,94157,106540,97588,226915,136241,122751,139317,220495,176367,220053,218497,353651,305538,222405,208393,270807,208118,221644,198874,196123,185463
"Hamilton (Ontario, Canada)",88182,72421,94348,71299,74094,72790,148109,147855,132870,142705,158115,190684,218622,220395,309176,303364,229663,211002,232448,212645,203776,228164,231692,201680
"Markham (Ontario, Canada)",49018,54300,60855,45005,47895,50856,80460,116783,119856,136078,142062,141780,197139,190929,245258,283257,206724,185518,200218,171845,150225,171705,194346,172852
