Country,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Canada,10574106,10054499,12399365,10023499,10303348,10676198,14808141,17684770,16942182,18798696,20120565,22055821,30613048,30415251,40485415,41694861,30373068,27198448,30073637,26817835,25229757,28983492,29131080,26484500
United States,291974,333871,384160,337459,338878,403135,517191,660369,604681,690913,750696,1366150,1848203,1784958,2158638,2245277,2051839,2130709,2124789,2008395,1845134,2106826,2050713,2044309
India,63405,68221,82044,91623,95408,128791,146711,158424,143135,138422,155770,933555,1021276,1043261,1230998,1227578,1368085,1497913,1557301,1609117,1305906,1311689,1413539,1649049
France,49940,49234,53317,55460,55528,65822,75126,111529,113123,133140,156402,390916,469939,395275,476231,406921,439482,449972,467755,461493,421735,418431,451965,557692
United Kingdom,42955,42568,46862,47617,51017,59147,65619,75098,67887,77841,80845,285165,381140,334879,409522,395226,414315,406070,415037,398342,327904,340237,341498,361763
China,17511,23575,29074,29181,34035,35722,38918,42115,37855,40179,42178,183496,193752,152774,256860,304854,348394,323189,343504,302991,273738,268764,287240,311808
Nigeria,16088,20296,22307,18279,19951,25261,22448,21902,21446,24923,23496,172816,244148,219909,249340,259908,275183,268341,284330,305076,298156,312906,285569,303590
Philippines,22134,22980,28334,25434,25925,32169,34879,38179,34586,39713,37742,137010,214515,203350,217246,217069,213960,209662,227734,213520,201845,209276,204009,192545
Mexico,50543,37487,38727,29200,31917,33610,35841,40265,33147,36953,42708,133335,196676,191321,209322,212511,224897,210508,218413,208248,182418,189632,191342,200418
United Arab Emirates,14850,15389,17403,19352,19962,23993,26062,25511,25004,28958,25701,151979,184082,175425,195061,194633,211332,209637,219167,197962,202378,204910,184953,207769
Germany,19201,17435,18438,19196,19855,31590,36859,39340,36882,33457,36299,256550,294137,262784,214449,154586,169532,176350,180350,161021,137517,133226,138645,151934
Australia,16288,17357,20830,23869,26209,26603,28747,36842,30755,35960,36572,133028,173040,171650,214344,210882,218182,196739,195647,193109,170735,172691,173058,188448
Brazil,20203,27917,26879,25351,32414,29222,26185,28129,24223,25861,28729,122983,214616,163472,193477,184225,192408,208475,199191,176896,149468,192851,162374,152602
Algeria,11634,12669,12871,16292,11934,16353,17564,21208,26491,39294,37571,155723,160515,155658,158722,135541,127361,136429,166713,197880,252854,220236,199162,171915
Pakistan,12069,13989,15014,16547,16100,19656,21699,20841,20667,23608,22753,139575,172868,160353,167921,167625,178179,177367,186176,171075,172804,178295,170361,199524
Iran (Islamic Republic of),5278,5251,4898,8079,7566,9420,10623,11423,9682,11298,11699,113415,115468,109938,111551,148622,132571,139338,175818,187339,174382,159144,148724,182805
Saudi Arabia,12514,12523,13574,13730,16031,15346,54205,31347,21378,25197,27883,125203,142177,141708,149551,138797,137816,136495,144947,122920,120646,123626,116079,117173
Morocco,9580,13168,13333,13824,14045,15570,19638,25955,28814,28884,23814,93849,97258,89421,105431,94760,106570,111893,125026,143023,185775,190657,153131,142711
South Korea,18384,17650,16476,18083,18785,19702,20386,21029,20107,19497,30954,141224,126368,94347,109417,138200,151956,129003,118856,99600,89494,84546,101653,148595
Japan,10446,10628,11484,12485,14054,18214,20318,21274,19156,18762,20404,74427,95391,105031,120386,112697,119931,127552,134955,126714,103457,98708,96109,106951
Hong Kong,7406,8577,11007,11217,12206,13939,16434,20135,18083,20017,20821,57837,73558,66532,100268,94692,104698,95063,96660,89512,74739,81090,82481,82930
Colombia,12331,10551,12767,12516,12060,12242,13397,14305,14368,13351,13828,50977,142707,85956,85355,94971,99727,84398,89050,83835,74955,77578,77526,68542
Bangladesh,5428,5556,6304,7045,7027,8233,9904,9573,8362,10774,9759,61442,62121,65097,70597,67323,72915,79646,104203,99072,92868,90105,87041,97022
Turkey,12873,10400,9026,8960,9227,9742,13002,14824,13839,14416,14130,59374,68652,64551,68846,61851,69679,73023,86976,91274,85539,84140,87591,85125
Russian Federation,6295,7801,9472,9301,9649,17275,20105,21326,24495,15046,16489,48806,57231,56058,81634,80455,74565,72788,79021,74479,62474,67020,78804,73578
