Province/Territory and Immigration Category,2015,2016,2017,2018
Atlantic Immigration Pilot Programs,0,0,0,140
Canadian Experience,25,40,135,105
Caregiver,15,30,35,45
Skilled Trade,10,20,15,0
Skilled Worker,95,115,75,70
Worker Program,150,200,260,365
Self-Employed,0,--,0,0
Start-up Business,0,0,0,--
Business,0,--,0,--
Provincial Nominee Program,535,455,435,530
Provincial Nominee Program,535,455,435,530
Economic - Total,685,655,690,895
Sponsored Children,10,5,--,--
Sponsored Extended Family Member,0,--,0,--
Sponsored Parent or Grandparent,10,20,20,15
Sponsored Spouse or Partner,120,165,175,135
Sponsored Family,140,195,200,155
Sponsored Family - Total,140,195,200,155
Blended Sponsorship Refugee,15,80,50,--
Government-Assisted Refugee,275,190,165,175
Privately Sponsored Refugee,0,55,50,60
Resettled Refugee,290,325,265,240
Protected Person in Canada,10,10,10,15
Resettled Refugee & Protected Person in Canada - Total,300,335,280,255
All Other Immigration - Total,--,--,--,0
Newfoundland and Labrador - Total,"1,125","1,190","1,170","1,305"
Atlantic Immigration Pilot Programs,0,0,20,165
Canadian Experience,5,10,65,55
Caregiver,--,0,0,--
Skilled Trade,0,--,--,5
Skilled Worker,40,10,15,15
Worker Program,50,25,105,245
Self-Employed,--,0,5,0
Start-up Business,0,10,10,15
Business,--,10,15,15
Provincial Nominee Program,955,"1,930","2,050","1,450"
Provincial Nominee Program,955,"1,930","2,050","1,450"
Economic - Total,"1,005","1,965","2,170","1,710"
Sponsored Children,10,--,5,5
Sponsored Parent or Grandparent,--,--,10,5
Sponsored Spouse or Partner,60,80,70,80
Sponsored Family,75,80,85,90
Sponsored Family - Total,75,80,85,90
Blended Sponsorship Refugee,5,25,15,0
Government-Assisted Refugee,75,125,30,45
Privately Sponsored Refugee,20,115,40,20
Resettled Refugee,100,265,85,65
Protected Person in Canada,5,0,--,--
Resettled Refugee & Protected Person in Canada - Total,105,265,90,70
All Other Immigration - Total,--,--,--,0
Prince Edward Island - Total,"1,185","2,315","2,350","1,870"
Atlantic Immigration Pilot Programs,0,0,15,320
Canadian Experience,180,170,235,330
Caregiver,65,60,75,65
Skilled Trade,20,5,15,5
Skilled Worker,815,545,235,265
Worker Program,"1,080",780,575,980
Self-Employed,5,5,5,--
Start-up Business,--,10,--,--
Business,10,15,5,5
Provincial Nominee Program,"1,395","2,590","2,735","3,160"
Provincial Nominee Program,"1,395","2,590","2,735","3,160"
Economic - Total,"2,485","3,385","3,315","4,150"
Sponsored Children,25,40,35,25
Sponsored Extended Family Member,--,0,0,--
Sponsored Parent or Grandparent,65,65,105,65
Sponsored Spouse or Partner,430,550,565,495
Sponsored Family,520,655,710,590
Sponsored Family - Total,520,655,710,590
Blended Sponsorship Refugee,50,270,45,60
Government-Assisted Refugee,250,890,210,170
Privately Sponsored Refugee,40,230,185,195
Resettled Refugee,340,"1,390",445,425
Protected Person in Canada,25,35,35,45
Resettled Refugee & Protected Person in Canada - Total,360,"1,425",480,470
All Other Immigration - Total,30,20,10,15
Nova Scotia - Total,"3,400","5,485","4,515","5,225"
Atlantic Immigration Pilot Programs,0,0,45,565
Canadian Experience,70,80,125,180
Caregiver,80,30,25,15
Skilled Trade,--,0,--,5
Skilled Worker,115,80,65,140
Worker Program,265,195,270,905
Self-Employed,0,0,--,0
Start-up Business,0,0,5,10
Business,0,0,5,10
Provincial Nominee Program,"1,765","2,450","2,585","2,440"
Provincial Nominee Program,"1,765","2,450","2,585","2,440"
Economic - Total,"2,030","2,640","2,860","3,360"
Sponsored Children,15,15,15,10
Sponsored Extended Family Member,--,0,--,--
Sponsored Parent or Grandparent,10,30,50,25
Sponsored Spouse or Partner,210,285,275,285
Sponsored Family,240,335,340,325
Sponsored Family - Total,240,335,340,325
Blended Sponsorship Refugee,30,185,35,--
Government-Assisted Refugee,250,"1,475",355,240
Privately Sponsored Refugee,10,15,45,45
Resettled Refugee,290,"1,680",435,285
Protected Person in Canada,20,5,5,10
Resettled Refugee & Protected Person in Canada - Total,310,"1,685",440,295
All Other Immigration - Total,--,15,5,10
New Brunswick - Total,"2,580","4,675","3,650","3,995"
Canadian Experience,--,0,0,0
Caregiver,"1,110","1,110",810,775
Skilled Worker,"23,370","25,855","24,865","22,160"
Worker Program,"24,480","26,970","25,675","22,935"
Entreprenuer ,185,130,220,125
Investor,"5,110","4,425","4,330","3,440"
Self-Employed,120,75,35,35
Business,"5,420","4,635","4,590","3,595"
Provincial Nominee Program,--,0,0,0
Provincial Nominee Program,--,0,0,0
Economic - Total,"29,900","31,605","30,265","26,535"
Sponsored Children,695,695,780,635
Sponsored Extended Family Member,45,70,70,80
Sponsored Parent or Grandparent,"1,065","1,265","1,970","1,415"
Sponsored Spouse or Partner,"8,690","9,095","9,310","7,605"
Sponsored Family,"10,495","11,125","12,135","9,740"
Sponsored Family - Total,"10,495","11,125","12,135","9,740"
Blended Sponsorship Refugee,10,10,0,0
Government-Assisted Refugee,"1,635","2,970","1,525","1,015"
Privately Sponsored Refugee,"2,965","4,170","4,810","3,855"
Resettled Refugee,"4,605","7,150","6,335","4,870"
Protected Person in Canada,"3,005","2,280","2,820","2,470"
Resettled Refugee & Protected Person in Canada - Total,"7,615","9,435","9,155","7,340"
All Other Immigration - Total,970,"1,085",845,695
Québec - Total,"48,975","53,245","52,395","44,310"
Canadian Experience,"9,545","7,355","19,500","15,820"
Caregiver,"14,440","9,330","11,135","8,355"
Skilled Trade,265,330,305,255
Skilled Worker,"28,650","23,675","15,095","30,980"
Worker Program,"52,895","40,695","46,035","55,410"
