Province/Territory and Immigration Category,Province,2015,2016,2017,2018
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,0,0,0,140
Canadian Experience,Newfoundland and Labrador,25,40,135,105
Caregiver,Newfoundland and Labrador,15,30,35,45
Skilled Trade,Newfoundland and Labrador,10,20,15,0
Skilled Worker,Newfoundland and Labrador,95,115,75,70
Worker Program,Newfoundland and Labrador,150,200,260,365
Self-Employed,Newfoundland and Labrador,0,--,0,0
Start-up Business,Newfoundland and Labrador,0,0,0,--
Business,Newfoundland and Labrador,0,--,0,--
Provincial Nominee Program,Newfoundland and Labrador,535,455,435,530
Provincial Nominee Program,Newfoundland and Labrador,535,455,435,530
Economic - Total,Newfoundland and Labrador,685,655,690,895
Sponsored Children,Newfoundland and Labrador,10,5,--,--
Sponsored Extended Family Member,Newfoundland and Labrador,0,--,0,--
Sponsored Parent or Grandparent,Newfoundland and Labrador,10,20,20,15
Sponsored Spouse or Partner,Newfoundland and Labrador,120,165,175,135
Sponsored Family,Newfoundland and Labrador,140,195,200,155
Sponsored Family - Total,Newfoundland and Labrador,140,195,200,155
Blended Sponsorship Refugee,Newfoundland and Labrador,15,80,50,--
Government-Assisted Refugee,Newfoundland and Labrador,275,190,165,175
Privately Sponsored Refugee,Newfoundland and Labrador,0,55,50,60
Resettled Refugee,Newfoundland and Labrador,290,325,265,240
Protected Person in Canada,Newfoundland and Labrador,10,10,10,15
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,300,335,280,255
All Other Immigration - Total,Newfoundland and Labrador,--,--,--,0
Newfoundland and Labrador - Total,Newfoundland and Labrador,"1,125","1,190","1,170","1,305"
Atlantic Immigration Pilot Programs,Prince Edward Island,0,0,20,165
Canadian Experience,Prince Edward Island,5,10,65,55
Caregiver,Prince Edward Island,--,0,0,--
Skilled Trade,Prince Edward Island,0,--,--,5
Skilled Worker,Prince Edward Island,40,10,15,15
Worker Program,Prince Edward Island,50,25,105,245
Self-Employed,Prince Edward Island,--,0,5,0
Start-up Business,Prince Edward Island,0,10,10,15
Business,Prince Edward Island,--,10,15,15
Provincial Nominee Program,Prince Edward Island,955,"1,930","2,050","1,450"
Provincial Nominee Program,Prince Edward Island,955,"1,930","2,050","1,450"
Economic - Total,Prince Edward Island,"1,005","1,965","2,170","1,710"
Sponsored Children,Prince Edward Island,10,--,5,5
Sponsored Parent or Grandparent,Prince Edward Island,--,--,10,5
Sponsored Spouse or Partner,Prince Edward Island,60,80,70,80
Sponsored Family,Prince Edward Island,75,80,85,90
Sponsored Family - Total,Prince Edward Island,75,80,85,90
