PageURL,Type ,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec
www.canada.ca/en/revenue-agency.html,Taxes,38029,45847,71094,70453,50714,40942,2327852,3694164,3062822,3470397,3419529,3012409,4703674,5902235,9520308,10759208,6192861,4699977,5824164,4069426,3380919,3679482,3150462,2915964
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/home.jspx,Employment and Social Development ,0,0,0,0,2859451,3154348,4357734,3854617,3448090,3604292,3865557,3928858,5657314,4857432,4857468,4569758,3569932,3451271,4910124,4143758,3501874,3851381,4186568,4370824
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals.html,Taxes,0,0,0,0,0,0,1751263,3455641,2859818,3115123,2830484,2552642,3768014,5359589,10066340,11104911,6658781,4503055,6600301,3984156,3128026,3236602,2903861,2617563
www.canada.ca/en/employment-social-development/services/my-account/access.html,Employment and Social Development ,3935694,3355468,3531773,2840830,2679812,2237636,2903082,2565140,2246163,2380331,2686839,2922388,3796413,3395578,3709178,3327432,2896493,2363083,3202094,2616149,2321672,2537285,2872277,2938967
www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,Immigration,0,0,0,0,0,0,0,0,0,0,56327,4037032,5227119,4054303,4769766,4955329,5910391,5761812,6156549,5918724,5452482,6027899,5590757,5407173
www.canada.ca/en/employment-social-development/services/my-account.html,Employment and Social Development ,3290236,2810334,3038463,2400207,2153392,1808980,2399578,2084855,1864186,2005595,2224753,2321866,3034101,2739788,3062261,2726545,2306730,1901390,2526981,2085577,1861697,2050209,2287483,2331688
www.canada.ca/en/services/immigration-citizenship.html,Immigration,0,0,0,0,0,0,0,0,0,0,46556,3261877,4420143,3430842,3943679,3938156,4352545,4394608,4723468,4499296,4167283,4635126,4369304,4088212
www.canada.ca/en.html,Canada.Ca Home Page,1552920,1671419,1900487,1579764,1645212,1572045,1990843,1998351,1846300,2021234,1985312,2168113,2834161,2487292,2933620,2897413,2515383,2394302,2707579,2318792,2115751,2327822,2320157,2246728
www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,Employment and Social Development ,3173179,2329555,2377318,1806237,1754085,1636608,2045988,1752671,1593059,1696157,1786182,1487503,1843615,1457780,1567217,1462731,1204401,1197525,1552564,1277635,1137683,1263538,1391258,1457201
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/ei-correspondence.jspx,Employment and Social Development ,0,0,0,0,1135926,1209548,1834915,1581862,1363389,1494810,1700733,1649015,2444068,1976432,1835816,1750313,1440202,1305859,2050557,1731871,1406322,1601787,1802441,1832295
