,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Referring Domain,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Visits
Typed/Bookmarked,3661810,3605633,4130923,3428699,3572569,3658469,4993889,6227505,6142068,6950823,8508000,10290883,13551890,13122115,16453325,17253246,13330170,12223658,12975228,11964085,10812897,12379659,12143784,12107503
google.ca,3494096,3925912,4874329,4207876,4077391,4052838,5641264,7342013,7365692,8166046,8277228,9460337,13395009,13387233,17187890,16260242,10963641,9545601,10683553,9351199,9020431,10224839,9890564,6842015
cic.gc.ca,498063,464513,491513,461512,522225,541892,598107,566884,526908,552979,515520,2923604,3982105,3289927,3710111,3674355,3946665,3916280,4099211,3732808,3293359,3460575,3442803,3694462
google.com,106432,148241,184970,157038,159406,154003,215919,315931,314337,369865,384642,775734,1009420,1109340,2073345,3727451,4447851,4284697,4757057,4358153,4452868,5088094,4982490,8344178
cra-arc.gc.ca,105918,156069,278527,252737,184132,173480,1720268,1644311,1154337,1347770,1226198,1044932,1642388,2629550,5046471,6010982,2890594,2200818,2545786,1753520,1458137,1717784,1476318,1321954
bing.com,351771,375690,443572,345683,342238,333832,504405,647727,627766,685592,584675,639634,999572,1024709,1337637,1464995,1124783,1013546,1108981,994580,935544,1061772,1025120,929362
clegc-gckey.gc.ca,4654,3739,4367,3503,592035,654945,910434,790780,690560,717051,726747,716805,1069170,916173,940654,907684,704070,663523,930119,802106,659494,724872,850373,912819
facebook.com,70188,161630,540523,202303,184582,342251,152190,159504,117012,270893,258419,485395,527848,674669,1048640,334797,347165,422847,430538,435332,517553,683686,1404550,582876
securekeyconcierge.com,1492,1515,1697,1312,312558,345817,469059,456926,430762,446195,440194,403545,618556,570261,593494,572486,465000,440817,631595,570269,489762,529165,604173,633199
esdc.gc.ca,2234811,769076,704185,513527,478926,411275,408381,363636,293305,276648,254270,196938,274433,222841,231594,230561,213951,176950,191330,172915,155466,156167,152355,135501
com.google,104701,88833,123825,110500,108633,115525,159799,201491,192554,211792,231428,399353,501752,473222,578029,560688,518638,537812,638493,606137,370486,228350,227387,231059
hrdc-drhc.gc.ca,736676,523081,560260,483501,170173,103261,132465,109871,107050,117097,128211,338686,295132,219284,233551,203039,180859,187783,257748,212042,177551,187063,209652,267406
statcan.gc.ca,5976,8401,8353,6664,6523,5165,4387,5474,5596,6680,6648,6362,26790,134650,600721,579430,495067,528922,499409,425172,589767,675543,766676,549215
google.co.in,10271,14302,17154,17843,19686,24279,33343,44069,42788,41887,51690,366422,381836,400054,467855,424598,416468,449161,462094,469322,405547,401133,435802,338926
yahoo.com,117860,126260,155016,120661,111257,106625,173014,210124,197784,212463,200132,238349,345945,345675,431574,450107,333276,294802,318116,270854,241302,258175,240511,225970
services.gc.ca,377211,425655,433449,211112,132980,143776,191283,123138,112483,152400,178602,237280,240461,132510,148604,136562,129048,181669,226519,167795,134088,174225,210686,253429
vfsglobal.ca,34,34,40,33,44,87,75,77,59,71,1576,140313,191570,222524,322750,342325,359560,338250,360316,348918,305480,311639,320328,301842
canadainternational.gc.ca,17547,17635,18809,15581,16153,15959,22282,28879,24954,23776,24073,225911,313018,244768,261101,279605,281967,253258,257991,192156,158194,155754,132443,67150
google.fr,18872,22400,27133,25395,26357,27413,35015,65852,71107,87869,95674,180280,223739,207770,247587,197924,188000,177097,175974,188554,179918,178892,186481,165268
servicecanada.gc.ca,159461,142231,156742,128576,126814,121740,122582,112103,97279,102556,105441,98276,135105,100643,104733,97160,89106,84263,97570,89614,82987,92847,101174,97753
jobbank.gc.ca,58372,72348,84958,67722,70733,62787,67143,67607,94155,95794,94031,83022,132451,99601,106160,99833,113794,116835,116422,109264,109200,113001,112978,91953
weather.gc.ca,70849,64620,63442,44379,50184,58713,72560,75063,77471,64764,67786,67883,89089,65196,62299,58566,57289,70111,129696,225298,112028,88285,105057,106600
cfp-psc.gc.ca,68967,67900,81022,61957,64780,53051,53947,50663,59564,75236,64377,52770,83953,91936,99168,97773,91790,84863,88757,94488,95432,106487,96504,81930
google.co.uk,10340,13087,16010,15897,17597,18138,21710,29609,28985,33424,35437,111380,142238,131536,156922,141381,127413,124268,126345,122769,109382,113360,112211,95492
recherche-search.gc.ca,25527,29278,36658,32484,30097,28952,43747,36852,31954,35497,36055,34695,51425,46710,58468,139726,147955,151119,146368,132535,118770,125802,126758,102065
edsc.gc.ca,339218,124651,114606,82985,76060,70391,68673,66911,51900,50275,47542,41096,53842,43566,46727,41849,33817,29944,35874,35254,29711,31920,31471,30633
hc-sc.gc.ca,14889,48709,55008,45636,47266,299844,252601,208636,34820,38815,31309,23371,31805,29623,31147,29695,27360,23659,22977,22166,24591,27509,24748,18233
t.co,10987,19188,48067,46264,42481,61299,48120,36226,52016,43551,54434,49926,55712,50857,67762,60398,60156,65039,68770,72635,47499,90975,65472,77594
forces.gc.ca,17956,16695,24117,18691,21853,41131,36373,37024,37185,41005,43280,34640,52437,48750,61450,80952,77887,69153,65814,61620,70241,64191,68403,68275
