Date ,Visits ,Country
Jan-17,10574106,Canada
Feb-17,10054499,Canada
Mar-17,12399365,Canada
Apr-17,10023499,Canada
May-17,10303348,Canada
Jun-17,10676198,Canada
Jul-17,14808141,Canada
Aug-17,17684770,Canada
Sep-17,16942182,Canada
Oct-17,18798696,Canada
Nov-17,20120565,Canada
Dec-17,22055821,Canada
Jan-18,30613048,Canada
Feb-18,30415251,Canada
Mar-18,40485415,Canada
Apr-18,41694861,Canada
May-18,30373068,Canada
Jun-18,27198448,Canada
Jul-18,30073637,Canada
Aug-18,26817835,Canada
Sep-18,25229757,Canada
Oct-18,28983492,Canada
Nov-18,29131080,Canada
Dec-18,26484500,Canada
Jan-17,291974,United States
Feb-17,333871,United States
Mar-17,384160,United States
Apr-17,337459,United States
May-17,338878,United States
Jun-17,403135,United States
Jul-17,517191,United States
Aug-17,660369,United States
Sep-17,604681,United States
Oct-17,690913,United States
Nov-17,750696,United States
Dec-17,1366150,United States
Jan-18,1848203,United States
Feb-18,1784958,United States
Mar-18,2158638,United States
Apr-18,2245277,United States
May-18,2051839,United States
Jun-18,2130709,United States
Jul-18,2124789,United States
Aug-18,2008395,United States
Sep-18,1845134,United States
Oct-18,2106826,United States
Nov-18,2050713,United States
Dec-18,2044309,United States
Jan-17,63405,India
Feb-17,68221,India
Mar-17,82044,India
Apr-17,91623,India
May-17,95408,India
Jun-17,128791,India
Jul-17,146711,India
Aug-17,158424,India
Sep-17,143135,India
Oct-17,138422,India
Nov-17,155770,India
Dec-17,933555,India
Jan-18,1021276,India
Feb-18,1043261,India
Mar-18,1230998,India
Apr-18,1227578,India
May-18,1368085,India
Jun-18,1497913,India
Jul-18,1557301,India
Aug-18,1609117,India
Sep-18,1305906,India
Oct-18,1311689,India
Nov-18,1413539,India
Dec-18,1649049,India
Jan-17,49940,France
Feb-17,49234,France
Mar-17,53317,France
Apr-17,55460,France
May-17,55528,France
Jun-17,65822,France
Jul-17,75126,France
Aug-17,111529,France
Sep-17,113123,France
Oct-17,133140,France
Nov-17,156402,France
Dec-17,390916,France
Jan-18,469939,France
Feb-18,395275,France
Mar-18,476231,France
Apr-18,406921,France
May-18,439482,France
Jun-18,449972,France
Jul-18,467755,France
Aug-18,461493,France
Sep-18,421735,France
Oct-18,418431,France
Nov-18,451965,France
Dec-18,557692,France
Jan-17,42955,United Kingdom
Feb-17,42568,United Kingdom
Mar-17,46862,United Kingdom
