Date,Visits,Region
17-Jan,4148933,Ontario (Canada)
17-Feb,4069033,Ontario (Canada)
17-Mar,4919638,Ontario (Canada)
17-Apr,3894059,Ontario (Canada)
17-May,4197331,Ontario (Canada)
17-Jun,4433711,Ontario (Canada)
17-Jul,6187133,Ontario (Canada)
17-Aug,7553638,Ontario (Canada)
17-Sep,7433488,Ontario (Canada)
17-Oct,8111495,Ontario (Canada)
17-Nov,8704611,Ontario (Canada)
17-Dec,9459411,Ontario (Canada)
18-Jan,13210901,Ontario (Canada)
18-Feb,12834073,Ontario (Canada)
18-Mar,16767887,Ontario (Canada)
18-Apr,17662473,Ontario (Canada)
18-May,13254916,Ontario (Canada)
18-Jun,11938670,Ontario (Canada)
18-Jul,13262534,Ontario (Canada)
18-Aug,11561012,Ontario (Canada)
18-Sep,10927615,Ontario (Canada)
18-Oct,12723573,Ontario (Canada)
18-Nov,12542540,Ontario (Canada)
18-Dec,11286294,Ontario (Canada)
17-Jan,2189944,Quebec (Canada)
17-Feb,2007276,Quebec (Canada)
17-Mar,2623668,Quebec (Canada)
17-Apr,2084567,Quebec (Canada)
17-May,2136034,Quebec (Canada)
17-Jun,2184395,Quebec (Canada)
17-Jul,2750537,Quebec (Canada)
17-Aug,3083925,Quebec (Canada)
17-Sep,2738686,Quebec (Canada)
17-Oct,3112460,Quebec (Canada)
17-Nov,3344495,Quebec (Canada)
17-Dec,3882973,Quebec (Canada)
18-Jan,5180804,Quebec (Canada)
18-Feb,5151309,Quebec (Canada)
18-Mar,6913259,Quebec (Canada)
18-Apr,6824153,Quebec (Canada)
18-May,5035469,Quebec (Canada)
18-Jun,4434534,Quebec (Canada)
18-Jul,5074197,Quebec (Canada)
18-Aug,4710089,Quebec (Canada)
18-Sep,4328564,Quebec (Canada)
18-Oct,4918414,Quebec (Canada)
18-Nov,5290473,Quebec (Canada)
18-Dec,4822055,Quebec (Canada)
17-Jan,1218493,British Columbia (Canada)
17-Feb,1147554,British Columbia (Canada)
17-Mar,1443868,British Columbia (Canada)
